id;author/userName;text;url;createdAt;class
1.53884E+18;fairestwin;"kalo kalian punya bekas jerawat tp males pake concealer karena lama pengennya yg sat set sat set cobain deh pake bedak wardah colorfit velvet powder foundation, harganya 60kan tp coveragenya mantep bgt 👍feelsnya mirip bgt kayak bedak luxcrime 
#racuninmakeup #wardahcolorfit https://t.co/iYuId3AW8D";https://x.com/fairestwin/status/1538842979573506048;Mon Jun 20 11:15:31 +0000 2022;positif
1.51377E+18;nsvrn_;"Safely Arrived 💄❤

Wardah Color Fit Last All Day Lip Paint shade 17 Tokyo Breeze ❣️

Warnanya bold maroon gt cakeppp  deh❤‍🔥 https://t.co/BNQjhJlka2";https://x.com/nsvrn_/status/1513769586801655811;Tue Apr 12 06:42:48 +0000 2022;positif
1.51054E+18;beautilogybytan;"Wardah merupakan brand kosmetik pertama yg mendapatkan sertifikat halal dari MUI.

Sambil nungguin buka puasa aku mau cerita sejarah panjang wardah yang berawal dari usaha rumahan dan kemudian menjadi salah satu brand kosmetik halal terbesar di dunia!

#TanBeautyPedia https://t.co/tuuJRdxn57";https://x.com/beautilogybytan/status/1510541769859276801;Sun Apr 03 08:56:37 +0000 2022;netral
1.51057E+18;beautilogybytan;Krn konsepnya  yg unik Wardah kemudian berkembang dgn pesat. pada tahun 1999 - 2003 penjualan produk wardah meningkat drastis. Dengan cepat wardah menjadi salah satu icon brand kosmetik lokal di Indonesia https://t.co/zj9Fu28fDV;https://x.com/beautilogybytan/status/1510566314339094529;Sun Apr 03 10:34:08 +0000 2022;netral
1.52395E+18;beautilogybytan;"mau ngereview Cream blush favoriteku dari local brand ♡

- Harganya 30K aja
- Warnanya super cantik

Wardah Colorfit Cream Blush Review
—A Thread https://t.co/zLKVm5aUVu";https://x.com/beautilogybytan/status/1523949529334444032;Tue May 10 08:54:16 +0000 2022;positif
1.43196E+18;becktdennis;"Guys… Wardah punya cosmetics products are so underrated okay!!! 

Makeup line diorang sangat affordable yet it gave almost the same effect as other higher price products. 

Loving this makeup tutorial from @jiaohjia https://t.co/rkc4pogePL";https://x.com/becktdennis/status/1431958903319785477;Sun Aug 29 12:36:21 +0000 2021;positif
1.53451E+18;crankygvrl;"✨another day, another racun✨

mau racunin kalian lipstain 60rb-an yang finish looknya plumpy dan warnanya cakep semua👀♡

#threadbycranky
#racuninmakeup https://t.co/tRX7NMmuua";https://x.com/crankygvrl/status/1534510218906062848;Wed Jun 08 12:18:40 +0000 2022;positif
1.45507E+18;farahstahp;"wardah’s velvet matte lip mousse is literally one of the best formula from wardah that i have ever tried i’m OBSESSED with this one 🥺 

i got the shade 08 (brown creator) hehe 🤍 https://t.co/B9zQfw0ASO";https://x.com/farahstahp/status/1455070763594108937;Mon Nov 01 07:14:38 +0000 2021;positif
1.53909E+18;brgsjks;Omg girls tengok apa I jumpa ni. Dah available kat Malaysia rupanya sunscreen stick Wardah ni. Senang pasni I nak reapply sunscreen on top of my makeup. Shuben mesti ingat I beli deodorant nanti 😭 https://t.co/J27zwOzgRq;https://x.com/brgsjks/status/1539087694030319623;Tue Jun 21 03:27:55 +0000 2022;netral
1.52421E+18;brgsjks;I nak racun you girls with another lipstick. Wardah Instaperfect Matesetter in the shade 08 Edge. Lawa gila pls shade ni. Beli time sale harga jadi around 15+ macam tu. And the best part is dia tak keringkan bibir langsung. Love sangat. Nak suruh husband I beli banyak banyak 😍 https://t.co/UEEgIhi06I;https://x.com/brgsjks/status/1524206663435440129;Wed May 11 01:56:01 +0000 2022;positif
